Index,Release Note,Release Note Abstract
1,"What's Changed

Fix mdx1 in Windows by @joshwooding in https://github.com/storybookjs/builder-vite/pull/560

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.4.1...v0.4.2","What's Changed
Fix mdx1 in Windows by @joshwooding in link
Full Changelog: link"
2,"What's Changed

Allow the use of @vitejs/plugin-react-swc by @IanVS in https://github.com/storybookjs/builder-vite/pull/552
Inject mdx compiler for mdx1 by @IanVS in https://github.com/storybookjs/builder-vite/pull/556

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.4.0...v0.4.1","What's Changed
Allow the use of @vitejs/plugin-react-swc by @IanVS in link
Inject mdx compiler for mdx1 by @IanVS in link
Full Changelog: link"
3,"What's Changed

Fully support Vite 4, remove @vitejs/plugin-react, update @storybook/mdx1-csf by @IanVS in https://github.com/storybookjs/builder-vite/pull/548

Breaking Changes
To fully support Vite 4, we've updated our mdx handling to no longer require the use of @vitejs/plugin-react.  This means that non-react projects will no longer be getting that plugin added to their projects, and react projects will need to make sure they include it as a dependency (changes to viteFinal are not required).  
Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.3.0...v0.4.0","What's Changed
Fully support Vite 4, remove @vitejs/plugin-react, update @storybook/mdx1-csf by @IanVS in link
Breaking Changes
To fully support Vite 4, we've updated our mdx handling to no longer require the use of @vitejs/plugin-react.  This means that non-react projects will no longer be getting that plugin added to their projects, and react projects will need to make sure they include it as a dependency (changes to viteFinal are not required).
Full Changelog: link"
4,"What's Changed

Breaking: Update peer dependencies for Vite 4 by @IanVS in https://github.com/storybookjs/builder-vite/pull/545
Update README by @IanVS in https://github.com/storybookjs/builder-vite/pull/546

If you'd like to continue using Vite 3, please stick with 0.2.x versions of this package.
Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.7...v0.3.0","What's Changed
Breaking: Update peer dependencies for Vite 4 by @IanVS in link
Update README by @IanVS in link
If you'd like to continue using Vite 3, please stick with 0.2.x versions of this package.
Full Changelog: link"
5,"What's Changed

feat: allow definition of stories in vue files by @tobiasdiez in https://github.com/storybookjs/builder-vite/pull/505

Note: this change is experimental, for use with https://github.com/tobiasdiez/unplugin-storybook-vue
New Contributors

@tobiasdiez made their first contribution in https://github.com/storybookjs/builder-vite/pull/505

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.6...v0.2.7","What's Changed
feat: allow definition of stories in vue files by @tobiasdiez in link
Note: this change is experimental, for use with link
New Contributors
@tobiasdiez made their first contribution in link
Full Changelog: link"
6,"What's Changed

Pin version of react-docgen by @IanVS in https://github.com/storybookjs/builder-vite/pull/531

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.5...v0.2.6","What's Changed
Pin version of react-docgen by @IanVS in link
Full Changelog: link"
7,"What's Changed

Fix bail not being defined by @joshwooding in https://github.com/storybookjs/builder-vite/pull/510

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.4...v0.2.5","What's Changed
Fix bail not being defined by @joshwooding in link
Full Changelog: link"
8,"What's Changed

Fix vue 2.x selection logic by @IanVS in https://github.com/storybookjs/builder-vite/pull/508
Re-add typescript check when adding react-docgen-typescript plugin by @joshwooding in https://github.com/storybookjs/builder-vite/pull/509

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.3...v0.2.4","What's Changed
Fix vue 2.x selection logic by @IanVS in link
Re-add typescript check when adding react-docgen-typescript plugin by @joshwooding in link
Full Changelog: link"
9,"What's Changed
Features

Support vue 2.6 and 2.7 by @IanVS in https://github.com/storybookjs/builder-vite/pull/503

Bug fixes

Make sure mocked actions can be identified in production build by @bodograumann in https://github.com/storybookjs/builder-vite/pull/482

Dependencies / Maintenance

Remove pluginutils from dependencies by @kazuma1989 in https://github.com/storybookjs/builder-vite/pull/470
Support vite 3.1 by @IanVS in https://github.com/storybookjs/builder-vite/pull/490
Move examples out of workspaces by @IanVS in https://github.com/storybookjs/builder-vite/pull/502
fix: add missing peer deps by @adalinesimonian in https://github.com/storybookjs/builder-vite/pull/500

New Contributors

@adalinesimonian made their first contribution in https://github.com/storybookjs/builder-vite/pull/500

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.2...v0.2.3","What's Changed
Features
Support vue 2.6 and 2.7 by @IanVS in link
Bug fixes
Make sure mocked actions can be identified in production build by @bodograumann in link
Dependencies / Maintenance
Remove pluginutils from dependencies by @kazuma1989 in link
Support vite 3.1 by @IanVS in link
Move examples out of workspaces by @IanVS in link
fix: add missing peer deps by @adalinesimonian in link
New Contributors
@adalinesimonian made their first contribution in link
Full Changelog: link"
10,"What's Changed

Avoid vite starting app instead of storybook: https://github.com/storybookjs/builder-vite/pull/464

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.1...v0.2.2","What's Changed
Avoid vite starting app instead of storybook: link
Full Changelog: link"
11,"What's Changed
Fixes

Fix launching app instead of storybook by @IanVS in https://github.com/storybookjs/builder-vite/pull/453
Fix: pass options read from config file to svelteDocgen by @benmccann in https://github.com/storybookjs/builder-vite/pull/449
Add @rollup/pluginutils to dependencies by @IanVS in https://github.com/storybookjs/builder-vite/pull/459
Improve react docgen plugin usage by @IanVS in https://github.com/storybookjs/builder-vite/pull/460
Remove mock-core-js plugin by @IanVS in https://github.com/storybookjs/builder-vite/pull/461
Fix react-docgen-typescript in some monorepos by @joshwooding in https://github.com/storybookjs/builder-vite/pull/457
Ignore applyDecorators in v6 story store by @kvcvc in https://github.com/storybookjs/builder-vite/pull/443

Maintencance

Cleanup dependencies on alphas/betas by @benmccann in https://github.com/storybookjs/builder-vite/pull/444
Cleanup peerDependencies by @benmccann in https://github.com/storybookjs/builder-vite/pull/445

New Contributors

@kvcvc made their first contribution in https://github.com/storybookjs/builder-vite/pull/443

Full Changelog: https://github.com/storybookjs/builder-vite/compare/v0.2.0...v0.2.1","What's Changed
Fixes
Fix launching app instead of storybook by @IanVS in link
Fix: pass options read from config file to svelteDocgen by @benmccann in link
Add @rollup/pluginutils to dependencies by @IanVS in link
Improve react docgen plugin usage by @IanVS in link
Remove mock-core-js plugin by @IanVS in link
Fix react-docgen-typescript in some monorepos by @joshwooding in link
Ignore applyDecorators in v6 story store by @kvcvc in link
Maintencance
Cleanup dependencies on alphas/betas by @benmccann in link
Cleanup peerDependencies by @benmccann in link
New Contributors
@kvcvc made their first contribution in link
Full Changelog: link"
